date	c1	c2	c1_ctxt_l	c1_ctxt_r	c2_ctxt_l	c2_ctxt_r
20030324	IRQ	USA	missile,kills,five,syrians,in	reports		missile,kills,five,syrians,in
20030324	TUR	USA	missiles,misfire,land,in			missiles,misfire,land,in
20030324	TUR	USA		to,discuss		
20030324	IRQ	USA	to,discuss	incursions		
20030324	IRQ	TUR	to,discuss	incursions		to,discuss
20030325	AUS	IRQ		navy,divers,sweep,for,sea,mines,in	navy,divers,sweep,for,sea,mines,in	
20030325	AUS	NZL				mark,20,years,of,free,trade
20030325	GBR	IRQ		deaths,in	deaths,in	rise,to,19
20030325	AUS	GBR	pms,wife,to,visit			pms,wife,to,visit
20030325	IRQ	KWT		launches,three,more,missiles,into	launches,three,more,missiles,into	
20030325	KOR	USA		seeking,stronger,alliance,with	seeking,stronger,alliance,with	over
20030325	IRQ	USA	and,allies,should,withdraw,from	arab		and,allies,should,withdraw,from
20030325	GBR	USA	colonel,apologises,for,death,of,two			colonel,apologises,for,death,of,two
20030325	IRQ	USA	says	human,shields,treated,at,captured		says
20030325	RUS	USA	says	equipment,in		says
20030325	IRQ	USA	equipment,in	not,affecting		says
20030325	IRQ	RUS	equipment,in	not,affecting	says	equipment,in
20030325	IRQ	USA	urges	to,abide,by,geneva,convention,for		urges
20030326	AUS	IRQ		navy,divers,find,sea,mines,in	navy,divers,find,sea,mines,in	port
20030326	AUS	JAM		suffers,rare,defeat,to	suffers,rare,defeat,to	
20030326	IRQ	USA	blair,to,focus,on,post,war	in	in	meetings
20030326	FJI	FRA	radio,premieres,in			radio,premieres,in
20030326	IRQ	USA	to,run,post,war		howard,wants	to,run,post,war
20030326	JPN	PRK	threatens	over,spy,satellite		threatens
20030326	IRQ	TUR	may,scale,back	border,force		may,scale,back
20030326	IRQ	TUR	seeks	buffer,zone,to,prevent,terrorism		seeks
20030326	IRQ	USA	defends	battle,plan		defends
20030327	GBR	IRQ	tanks,destroyed,south,of,basra		14	tanks,destroyed,south,of,basra
20030327	AUS	IRQ		navy,divers,clear	navy,divers,clear	port,mines
20030327	ISR	PSE		raids	raids	chasing,arafat,bodyguards
20030327	AUS	BEL	mcewen,leads	1,2,in	1,2,in	
20030327	IRQ	KWT	patriots,stop	missile,shot,at	missile,shot,at	
20030327	IRQ	USA	force		republican,guard,attacking	force
20030327	CHE	IRQ		refuse,to,oust	refuse,to,oust	diplomats
20030327	AUS	IRQ	agreement	ambassador	un,must,reach	agreement
20030327	IRQ	USA	army,criticised,over	firefighting,contract		army,criticised,over
20030327	IRQ	USA	forces,parachute,into,northern			forces,parachute,into,northern
20030327	ESP	USA	war,wounded,arrive,at	base		war,wounded,arrive,at
20030327	IRQ	USA	wont,cede,control,of	to,un		wont,cede,control,of
20030328	AUS	ISR	pm,pays,tribute,to		former	pm,pays,tribute,to
